cultivo,variable,condicion,umbral_min,umbral_max,nivel,icono,titulo,recomendacion,fuente
Maiz,temperatura,muy_alto,32.0,,critica,,Estrés térmico en floración,"Si el maíz está en etapa VT (espigas) o R1 (seda), el calor extremo quema el polen y reduce el llenado de grano. Riega de inmediato y aplica riego de auxilio. El daño puede ser irreversible si dura más de 3 días.",CIMMYT 2021
Maiz,temperatura,alto,28.0,,advertencia,,Calor moderado: riesgo en llenado de grano,"Temperaturas altas reducen la viabilidad del polen. Riega en las primeras horas de la mañana. Si usas riego por aspersión, no riegues al mediodía para evitar quemar las hojas.",CIMMYT 2021
Maiz,temperatura,muy_bajo,,15.0,critica,,Riesgo de helada en germinación,El frío puede matar las plántulas de maíz recién emergidas. Cubre las hileras con paja o plástico delgado antes de que anochezca. Usa variedades tolerantes al frío como ICTA HB-17TMA si siembras en el altiplano.,ICTA Guatemala
Maiz,precipitacion,muy_bajo,,40.0,critica,,Sequía urgente en maíz,"Riega tu parcela de maíz hoy. Sin agua, las plantas se marchitan en 24-48 horas especialmente en etapa de floración. Aplica al menos 40 mm de riego si tienes sistema de irrigación.",FAO Guatemala
Maiz,precipitacion,alto,90.0,,advertencia,,Encharcamiento: riesgo de pudrición de raíz,"Demasiada lluvia puede ahogar las raíces del maíz. Limpia los canales de drenaje entre los surcos para que el agua escurra rápido. Si el suelo está saturado más de 48 horas, hay riesgo de pudrición.",ICTA Guatemala
Maiz,humedad,alto,75.0,,advertencia,,Riesgo de achaparramiento del maíz,"Con humedad alta y temperaturas cálidas, el achaparramiento (causado por fitoplasma transmitido por chicharritas) puede afectar tus plantas. Busca plantas amarillas y achaparradas, retíralas del campo para evitar contagio.",ICTA Guatemala
Maiz,ph_suelo,muy_bajo,,5.5,advertencia,,pH ácido bloquea fósforo y zinc,"El pH bajo impide que el maíz absorba fósforo y zinc, causando hojas moradas o amarillas. Aplica cal dolomítica agrícola (2-3 kg por cuerda) al menos 30 días antes de la siembra o fertilización.",ICTA Guatemala
Maiz,plaga,cualquiera,,,critica,,Monitoreo de gusano cogollero (Spodoptera frugiperda),"Revisa el cogollo (corazón) de cada planta. Si ves polvo café, agujeros en espiral o larvas, hay gusano cogollero. Aplica Bacillus thuringiensis (Bt) por la tarde. Si el daño supera el 25% de las plantas, usa insecticida de contacto autorizado.",CIMMYT / CABI 2022
Maiz,general,cualquiera,,,info,,Control de malezas crítico primeros 30 días,"Las malezas compiten fuertemente con el maíz durante los primeros 30 días. Realiza la primera limpia a los 15 días y la segunda a los 30. Después de ese periodo, el maíz ya sombrea las malezas solo.",ICTA Guatemala
Frijol,humedad,muy_alto,80.0,,critica,,Roya y antracnosis: condiciones críticas,Humedad muy alta favorece la roya (Uromyces appendiculatus) y la antracnosis. Busca pústulas anaranjadas en el envés de las hojas o manchas oscuras en vainas. Aplica fungicida cúprico preventivo. No entres a la parcela cuando las plantas estén mojadas para no esparcir esporas.,ICTA Guatemala / FAO
Frijol,humedad,alto,70.0,,advertencia,,Vigilancia de roya del frijol,Con esta humedad hay condiciones para que aparezca roya. Revisa el envés de las hojas 3 veces por semana buscando polvo anaranjado. Aplica fungicida si encuentras más de 10% de hojas afectadas.,ICTA Guatemala
Frijol,temperatura,muy_alto,30.0,,advertencia,,Mosca blanca en condiciones secas y calurosas,"Calor con baja humedad favorece a la mosca blanca (Bemisia tabaci y Trialeurodes vaporariorum), que transmite el mosaico dorado amarillo del frijol (BGMV). Revisa el envés de las hojas. Aplica aceite de neem o insecticida sistémico si encuentras colonias.",ICTA Guatemala
Frijol,precipitacion,muy_alto,85.0,,advertencia,,Lluvia excesiva: pudrición en cuello,Con demasiada lluvia el frijol puede sufrir pudrición del cuello y raíz. Asegura que el agua drene bien entre los surcos. Reduce el riego suplementario si lo tienes.,FAO
Frijol,ph_suelo,muy_bajo,,5.5,advertencia,,pH ácido inhibe nódulos de Rhizobium,"Con pH bajo, las bacterias del suelo que fijan nitrógeno (Rhizobium) no pueden formar nódulos en las raíces. Aplica cal agrícola y reinocula las semillas con Rhizobium en el siguiente ciclo para recuperar la fertilidad natural.",ICTA Guatemala
Frijol,plaga,cualquiera,,,info,,Babosas nocturnas: daño en plántulas,"En noches húmedas y frescas, las babosas cortan plántulas y hojas jóvenes. Revisa la parcela al amanecer buscando rastros de baba brillante. Coloca cebos de metaldehído al pie de las plantas si confirmas daño.",MAGA Guatemala
Frijol,general,cualquiera,,,info,,Soporte para frijol voluble (en guía),"Si cultivas frijol voluble, revisa que los tutores (palos o cañas) estén firmes y que las ramas no toquen el suelo húmedo. El contacto con suelo mojado favorece enfermedades fungosas en vainas y hojas.",ICTA Guatemala
Frijol,general,cualquiera,,,info,,Mejora ventilación para reducir enfermedades,"Usa riego por surcos en lugar de aspersión para mantener el follaje seco. No trabajes en la parcela cuando las plantas están mojadas, ya que puedes esparcir hongos entre plantas sanas.",FAO
Cafe,humedad,muy_alto,80.0,,critica,,Alerta roya del café (Hemileia vastatrix),"La roya es la principal amenaza del café en Guatemala. Con esta humedad, busca manchas traslúcidas que se vuelven amarillo-anaranjadas en el envés de las hojas. Si encuentras síntomas en más del 5% de las hojas, aplica fungicida cúprico o sistémico de inmediato. No esperes.",World Coffee Research / ANACAFE
Cafe,humedad,alto,70.0,,advertencia,,Monitoreo de roya y ojo de gallo,"Condiciones favorables para roya y ojo de gallo (Mycena citricolor). Revisa las hojas cada 3 días, especialmente en el tercio inferior de la planta. Aplica cobre preventivo antes de que aparezcan síntomas si llevan 3 días con más de 70% de humedad.",ANACAFE Guatemala
Cafe,temperatura,alto,26.0,,advertencia,,Broca del café (Hypothenemus hampei),"Calor moderado con baja humedad favorece a la broca. Revisa los frutos maduros buscando un agujero pequeño en la corona. Si encuentras más del 5% de granos brocados, coloca trampas con alcohol etílico al 3% y metanol 1:1. Recoge y destruye los frutos brocados.",ANACAFE Guatemala
Cafe,temperatura,muy_alto,30.0,,advertencia,,Temperatura extrema: manejo de sombra,"El café no tolera bien el calor directo. Verifica que la sombra cubra entre 25-40% del lote. Si el sol da directo todo el día, poda el árbol de sombra para que deje pasar más luz sin eliminar la cobertura.",ANACAFE Guatemala
Cafe,temperatura,muy_bajo,,16.0,advertencia,,Frío: café en zonas altas sobre 1500m,"Temperaturas bajo 16°C afectan el desarrollo del café en altiplano. En alturas sobre 1,500 m, protege los cafetos jóvenes con tutores y árboles de sombra que actúen como barrera contra el viento frío del norte.",FAO Coffee Guide
Cafe,ph_suelo,muy_bajo,,5.5,advertencia,,pH ácido: aplica cal dolomítica al café,"El café prefiere pH entre 6.0-6.5. Con pH bajo, aplica cal dolomítica (1-2 kg por planta al año) mezclada con el suelo alrededor del tallo. Combina con materia orgánica (compost o pulpa de café).",ANACAFE Guatemala
Cafe,enfermedad,cualquiera,,,info,,Poda de sanidad para prevenir enfermedades,"Realiza poda de mantenimiento: elimina bandolas secas, hojas con roya severa y chupones del tallo. Esta práctica reduce la fuente de inóculo de enfermedades y mejora la ventilación del lote.",ANACAFE Guatemala
Cafe,general,cualquiera,,,info,,Limpieza del suelo bajo el cafetal,Las hojas caídas bajo los árboles acumulan esporas de roya y ojo de gallo. Retíralas o voltéalas con un rastrillo cada mes. Aplica una capa fina de compost para mantener humedad y nutrición.,ANACAFE Guatemala
Arroz,precipitacion,muy_bajo,,60.0,advertencia,,Llenar tablones: el arroz necesita agua permanente,"El arroz requiere una lámina de 5-10 cm de agua en el tablón durante el macollamiento y la floración. Si la lluvia no es suficiente, llena los tablones manualmente. Sin agua, el rendimiento puede caer más del 50%.",IICA Guatemala
Arroz,humedad,muy_alto,80.0,,critica,,Riesgo de piricularia (Magnaporthe oryzae - Blast),"Humedad alta con temperaturas cálidas es la combinación perfecta para el Blast. Busca manchas grises con bordes café en hojas y cuellos de panícula. Si encuentras síntomas, aplica fungicida (tricyclazole o azoxistrobina) de inmediato. El Blast puede destruir toda la panícula.",FAO / IICA
Arroz,temperatura,muy_alto,32.0,,advertencia,,Estrés por calor en floración del arroz,Temperaturas sobre 32°C durante la floración reducen drásticamente la fertilización de las espiguillas. Mantén agua fresca en el tablón para bajar la temperatura del suelo. Usa variedades de ciclo corto si estás en zona calurosa.,IICA Guatemala
Arroz,ph_suelo,muy_alto,7.5,,advertencia,,pH alcalino: deficiencia de hierro en arroz,"Con pH alto, el hierro se inmoviliza y el arroz presenta hojas amarillas (clorosis férrica). Usa sulfato de amonio como fuente nitrogenada en lugar de urea, ya que acidifica ligeramente el suelo y aporta azufre.",FAO
Arroz,plaga,cualquiera,,,critica,,Monitoreo de sogata (Tagosodes orizicolus),La sogata es el insecto más dañino del arroz en Guatemala. Busca insectos café pequeños en la base del tallo. Las plantas atacadas se amarillan de abajo hacia arriba (hopper burn). Aplica insecticida sistémico en las mañanas si encuentras más de 1 insecto por planta.,IICA Guatemala
Arroz,general,cualquiera,,,info,,Control de malezas acuáticas en tablón,"El pasto de agua y otras malezas acuáticas compiten fuertemente con el arroz. Drena el tablón 3 semanas después del trasplante, aplica herbicida selectivo y vuelve a llenar. Una maleza sin controlar puede reducir el rendimiento hasta 40%.",IICA Guatemala
Arroz,general,cualquiera,,,info,,Siembra sincronizada con vecinos para reducir plagas,"Siembra dentro de una ventana de 2 semanas con las parcelas vecinas. La siembra sincronizada reduce la presión de insectos, enfermedades, aves y roedores que se concentran en parcelas solitarias.",FAO IPM Rice
Papa,humedad,muy_alto,75.0,,critica,,Alerta tizón tardío (Phytophthora infestans),"Esta es la enfermedad más destructiva de la papa en Guatemala. Con humedad alta y temperatura fresca (12-18°C), el hongo se reproduce en horas. Busca manchas cafés con halo amarillo en hojas, especialmente en el borde. Si encuentras síntomas, aplica fungicida sistémico (metalaxil + mancozeb) de inmediato y repite en 5-7 días.",CIP / MAGA Guatemala
Papa,precipitacion,alto,70.0,,critica,,Lluvia excesiva: tizón tardío inminente,Lluvias frecuentes favorecen el tizón tardío. Aplica fungicida preventivo (mancozeb o clorotalonil) cada 7-10 días mientras dure la lluvia. No esperes a ver síntomas porque el hongo puede destruir una parcela en 3-5 días.,CIP Guatemala
Papa,temperatura,muy_alto,28.0,,advertencia,,Calor inhibe formación de tubérculos,"La papa forma tubérculos entre 15-22°C. Con temperaturas sobre 28°C, la formación de tubérculos se detiene. Riega más seguido para bajar la temperatura del suelo. Considera planting en época más fresca si es posible.",CIP / Rainforest Alliance Guatemala
Papa,temperatura,muy_bajo,,5.0,critica,,Helada: daño crítico en hojas y tubérculos,"Las heladas destruyen el follaje de papa en pocas horas. En el altiplano (sobre 2,500m), cubre las plantas con plástico, paja o manta térmica antes de que anochezca cuando se esperan temperaturas bajo 5°C. Las variedades mejoradas de ICTA tienen mayor tolerancia al frío.",CIP / Rainforest Alliance Guatemala
Papa,ph_suelo,muy_bajo,,5.5,advertencia,,pH ácido causa sarna común en tubérculos,"El suelo ácido favorece la sarna común de la papa (Streptomyces scabies), que produce costras en los tubérculos. Aplica cal agrícola (3-4 kg por cuerda) al menos 30 días antes de sembrar. No apliques cal excesiva porque pH sobre 6.5 también aumenta la sarna.",CIP Guatemala
Papa,ph_suelo,alto,7.0,,info,,pH alto bloquea manganeso en papa,"Con pH mayor a 7.0, el manganeso se inmoviliza y las hojas de papa presentan amarillamiento entre las nervaduras (las venas quedan verdes). Aplica sulfato de manganeso foliar (2-3 gramos por litro de agua) si ves estos síntomas.",CIP / FAO
Papa,general,cualquiera,,,info,,Aporque: protege los tubérculos de la luz,"Realiza aporque (arrimar tierra al tallo) cuando las plantas alcanzan 20-25 cm. Los tubérculos expuestos a la luz solar se vuelven verdes y producen solanina, una sustancia tóxica. Aporca 2 veces durante el ciclo.",MAGA Guatemala
Papa,plaga,cualquiera,,,advertencia,,Trips y mosca minadora en papa,Los trips (Thrips tabaci) causan plateado en las hojas y transmiten virus. La mosca minadora (Liriomyza spp.) produce galerías blancas en las hojas. Revisa las hojas en las mañanas. Aplica insecticida sistémico (imidacloprid o abamectina) si encuentras más de 5 insectos por hoja.,MAGA Guatemala
Tomate,humedad,muy_alto,80.0,,critica,,Tizón tardío del tomate: condición crítica,"Con lluvia y alta humedad, el tizón tardío (Phytophthora infestans) puede destruir una parcela en menos de una semana. Busca manchas acuosas en hojas que se tornan cafés con halo amarillo y crecimiento blanco en el envés. Aplica metalaxil + mancozeb de inmediato. Drena el exceso de agua.",UC IPM / MAGA
Tomate,temperatura,muy_alto,32.0,,advertencia,,Calor extremo: caída de flores y frutos,"Con temperaturas sobre 32°C, el tomate pierde flores y frutos jóvenes. Riega en las primeras horas de la mañana y aplica mulch (paja o plástico negro) para mantener fresco el suelo. Usa malla sombra al 30% si el calor persiste más de 3 días.",FAO / MAGA Guatemala
Tomate,ph_suelo,alto,7.2,,advertencia,,pH alto: clorosis de hierro en tomate,"Con pH mayor a 7.2, el hierro no es absorbido por el tomate. Las hojas nuevas se vuelven amarillas pero las nervaduras quedan verdes (clorosis internerval). Aplica quelato de hierro EDTA foliar (2 g por litro) 2 veces por semana hasta que el follaje se recupere.",FAO / MAGA Guatemala
Tomate,precipitacion,muy_bajo,,45.0,advertencia,,Riego irregular causa pudrición apical,"La pudrición apical (mancha café en la punta del fruto) no es una enfermedad sino una deficiencia de calcio por riego irregular. Riega de forma constante todos los días, ya que el tomate necesita humedad uniforme para absorber calcio. Aplica calcio foliar si ya tienes frutos afectados.",UC Cooperative Extension
Tomate,plaga,cualquiera,,,critica,,Mosca blanca y virosis: principal amenaza,"La mosca blanca (Bemisia tabaci) transmite más de 8 virus en Guatemala incluyendo TYLCV que causa rizado y amarillamiento severo. Revisa el envés de las hojas diariamente. Aplica aceite de neem, imidacloprid o buprofezin. Elimina plantas con síntomas de virosis para no contagiar las demás.",MAGA / UVIRO Guatemala
Tomate,general,cualquiera,,,info,,Desbrotado semanal para mejor rendimiento,"Retira los chupones (brotes laterales que salen entre el tallo y las ramas) cada semana. Con este manejo, la planta concentra energía en 1-2 tallos principales y los frutos crecen más grandes. Corta los chupones cuando tienen 5 cm con tijera desinfectada.",MAGA Guatemala
Tomate,general,cualquiera,,,info,,Revisa tutores y amarre de tallos,Los tallos de tomate con frutos pesan mucho. Revisa que el hilo o la cuerda de amarre no estén cortando el tallo y que los postes soporten el peso. Un tallo torcido o partido puede perder toda la producción de esa rama.,MAGA Guatemala
Aguacate,precipitacion,muy_alto,85.0,,critica,,Phytophthora: encharcamiento destruye raíces,"El aguacate no tolera el agua estancada. La Phytophthora cinnamomi causa pudrición de raíz que mata el árbol en pocas semanas. Verifica que el agua drene completamente alrededor del árbol. Si el suelo retiene agua más de 24 horas, construye un bordo de tierra para desviarla.",UC IPM / IICA
Aguacate,humedad,muy_alto,85.0,,advertencia,,Alta humedad: riesgo de antracnosis,"La antracnosis (Colletotrichum gloesporioides) produce manchas negras en frutos y hojas, reduciendo la calidad. Mejora la ventilación podando ramas que se cruzan. Aplica fungicida cúprico preventivo al inicio de la fructificación.",IICA Guatemala
Aguacate,precipitacion,muy_bajo,,40.0,advertencia,,Riego en floración y cuajado,"El aguacate necesita agua constante durante la floración y el cuajado del fruto. Riega profundo (hasta 60 cm) 2 veces por semana. Un déficit hídrico en esta etapa causa caída de frutos pequeños (escape), que puede reducir la cosecha hasta un 40%.",IICA / Ramirez-Godinez 2019
Aguacate,temperatura,muy_alto,33.0,,advertencia,,Calor extremo quema flores del aguacate,"Con temperaturas sobre 33°C las flores del aguacate se secan antes de ser polinizadas. Si el árbol está en floración, riega en las tardes para bajar la temperatura del microclima del árbol. Planta polinizadores de variedad tipo B cerca si tienes variedad tipo A.",IICA Guatemala
Aguacate,temperatura,muy_bajo,,12.0,critica,,Helada: daño severo en aguacate joven,"Temperaturas bajo 12°C dañan los brotes y frutos del aguacate, especialmente en árboles jóvenes. Usa manta térmica o cúbrelos con plástico la noche que se espera helada. Las variedades guatemaltecas (Nabal, MacArthur) toleran hasta -1.6°C.",UC IPM / IICA
Aguacate,plaga,cualquiera,,,advertencia,,Trips y ácaros: daño en frutos y hojas,"Los trips (Heliothrips haemorrhoidalis) producen zonas plateadas o bronceadas en frutos y hojas, reduciendo la calidad comercial. Los ácaros producen puntitos blancos en el envés. Aplica azufre mojable o aceite de neem al primer signo de daño.",IICA Guatemala
Aguacate,general,cualquiera,,,info,,Poda para ventilación de la copa,"Poda las ramas que se cruzan, tocan el suelo o crean zonas muy densas en la copa. Una copa bien ventilada reduce la humedad interna, disminuye enfermedades y facilita la fumigación. Realiza la poda después de la cosecha.",IICA Guatemala
Aguacate,ph_suelo,muy_alto,7.5,,advertencia,,pH alcalino bloquea hierro y zinc en aguacate,"El aguacate prefiere pH entre 5.5-7.0. Con pH mayor a 7.5, el hierro y el zinc no son absorbidos y las hojas se vuelven amarillas con nervaduras verdes. Aplica sulfato ferroso (100-200 g por árbol) mezclado con agua al pie del árbol. Agrega también compost ácido.",IICA Guatemala
Cacao,humedad,muy_alto,80.0,,critica,,Monilla (Moniliophthora roreri): emergencia sanitaria,"La monilla es la principal enfermedad del cacao en Guatemala. Con esta humedad se reproduce muy rápido. Busca mazorcas con bultos brillantes, manchas cafés de bordes irregulares o polvo blanco/gris. Retira todas las mazorcas infectadas del árbol antes de que aparezca el polvo blanco (esporas) y destrúyelas lejos del lote. No las dejes en el suelo.",ICCO / IICA Guatemala
Cacao,humedad,alto,70.0,,advertencia,,Monitoreo de mazorca negra (Phytophthora palmivora),Con esta humedad hay condiciones para mazorca negra. Busca mazorcas con manchas cafés acuosas que se expanden rápido. Esta enfermedad puede pudrirse internamente aunque la cáscara se vea casi normal. Aplica fungicida cúprico preventivo y mejora el drenaje.,ICCO / FAO
Cacao,precipitacion,muy_alto,90.0,,advertencia,,Lluvias intensas favorecen mazorca negra,Las lluvias fuertes propagan las esporas de Phytophthora por salpicadura de agua. Asegura que el agua no se acumule en la base de los árboles. Poda las ramas bajas para que las mazorcas no tengan contacto con el suelo húmedo.,ICCO Guatemala
Cacao,temperatura,muy_alto,30.0,,advertencia,,Sombra insuficiente con calor extremo,"El cacao no tolera el sol directo. Verifica que la sombra de los árboles cubra entre 40-50% del lote. Con calor extremo y poca sombra, la floración se reduce y las mazorcas se secan antes de madurar.",IICA / FAO Cacao
Cacao,temperatura,muy_bajo,,18.0,advertencia,,Temperatura baja fuera del rango óptimo del cacao,"El cacao crece bien entre 20-28°C. Temperaturas menores a 18°C retardan el crecimiento y la floración. En zonas altas, planta en exposición sur con protección contra el viento frío.",IICA Guatemala
